_key,Districts,Population,Longitude,Latitude
1,Grajaú,444.593,-46.6655745957,-23.78579755
2,Sapopemba,296.042,-46.5098851,-23.6043265
3,Jardim Ângela,291.798,-46.7712056726,-23.7122455
4,Brasilândia,280.069,-46.6902692709,-23.4482715
5,Capão Redondo,275.230,-46.7677529,-23.6588586
6,Jardim São Luís,261.586,-46.7377620894,-23.68357325
7,Cidade Ademar,248.215,-46.6552806,-23.6730116
8,Itaim Paulista,241.026,-46.3996091,-23.5017648
9,Sacomã,237.769,-46.6025821,-23.6012617
10,Jaraguá,220.292,-46.7395122,-23.455682
11,Cidade Tiradentes,219.868,-46.4092065,-23.5824973
12,Campo Limpo,216.098,-46.7587289,-23.6488796
13,Jabaquara,212.504,-46.6500373291,-23.6520656
14,Cidade Dutra,203.473,-46.6990882,-23.7139643
15,Itaquera,199.824,-46.4555099,-23.5360799
16,Tremembé,185.731,-45.547526,-22.95714
17,Lajeado,185.184,-46.4100218474,-23.53624775
18,Vila Jacuí,167.965,-46.4587173521,-23.500294
19,Pirituba,163.696,-46.7219385,-23.485533
20,Vila Curuçá,162.486,-46.4178927841,-23.510151
21,Pedreira,158.656,-46.894846,-22.741347
22,São Mateus,158.533,-46.4817046,-23.5982995
23,Cachoeirinha,157.408,-46.6636363726,-23.4493375
24,Jardim Helena,153.634,-46.423410227,-23.48228355
25,Cangaíba,151.538,-46.5314253,-23.5058996
26,São Rafael,151.017,-46.4532406421,-23.627159
27,Parelheiros,146.212,-46.7330778497,-23.82479075
28,Freguesia do Ó,138.101,-46.6951317,-23.4874636
29,São Lucas,136.175,-46.5458997983,-23.594946
30,Cidade Líder,130.255,-46.4943334,-23.5627696
31,Vila Medeiros,128.692,-46.5844955,-23.487707
32,Iguatemi,126.645,-46.4190279395,-23.6182705
33,Penha,117.691,-46.5437815,-23.523683
34,Ermelino Matarazzo,116.632,-46.4840701437,-23.4916735
35,Rio Pequeno,115.999,-46.769639,-23.5797919
36,Vila Mariana,112.952,-46.6346528,-23.58919
37,Santana,112.613,-46.6247204,-23.5020677
38,Guaianases,111.325,-46.4156048017,-23.54230815
39,Saúde,111.308,-46.6433933431,-23.61517795
40,José Bonifácio,108.366,-46.434766583,-23.564091
41,Vila Maria,107.395,-46.5891557,-23.5131836
42,Artur Alvim,104.864,-46.485264682,-23.539221
43,Mandaqui,101.994,-46.6412431436,-23.4579405
44,Vila Andrade,99.274,-46.7269894,-23.625687
45,Vila Matilde,98.173,-46.524605,-23.536179
46,Perdizes,97.706,-46.6806705109,-23.5379295
47,Raposo Tavares,96.914,-46.7806073418,-23.5917653
48,Campo Grande,96.756,-46.6872259319,-23.67554775
49,Vila Prudente,96.441,-46.5819557,-23.5844161
50,Ipiranga,94.787,-46.6061620667,-23.58927255
51,Ponte Rasa,93.631,-46.4870517,-23.5110455
52,São Miguel Paulista,93.187,-46.4436660911,-23.4905542
53,Aricanduva,92.982,-46.511454,-23.5780239
54,Cursino,92.895,-46.6195629065,-23.6323011
55,Jaçanã,92.836,-46.5824232,-23.4639591
56,São Domingos,90.777,-46.7455806475,-23.4937631
57,Vila Sônia,89.927,-46.7391623181,-23.59993525
58,Vila Formosa,89.510,-46.5463233,-23.5668764
59,Tucuruvi,88.566,-46.60325,-23.4800823
60,Perus,85.002,-46.7436319976,-23.4084915
61,Limão,80.571,-46.6752722,-23.5033149
62,Itaim Bibi,80.501,-46.6784441,-23.5843807
63,Água Rasa,78.556,-46.5736971891,-23.5653715
64,Jardim Paulista,76.033,-46.740504,-22.1952113
65,Casa Verde,75.687,-46.6561379,-23.5059269
66,Tatuapé,75.481,-46.5750093,-23.5408911
67,Moema,71.459,-46.6628884,-23.597085
68,Carrão,71.363,-46.5377907689,-23.5515305
69,Parque do Carmo,69.630,-46.458056,-23.5787082
70,Santa Cecília,63.689,-46.6490283,-23.5390943
71,Mooca,63.133,-46.5971924,-23.5606808
72,Campo Belo,62.530,-46.6694214293,-23.62673055
73,Pinheiros,61.711,-46.7031493,-23.5659351
74,Santo Amaro,60.373,-46.6998902703,-23.64251545
75,Lapa,58.924,-46.7043491,-23.5215756
76,Liberdade,57.860,-46.6318092837,-23.5667035
77,Bela Vista,57.204,-46.6477664879,-23.5622095
78,Anhanguera,53.266,-46.7885339627,-23.4329085
79,Vila Guilherme,48.407,-46.6079618,-23.5170972
80,Butantã,48.040,-46.7080896,-23.5718995
81,Consolação,44.991,-46.6604929,-23.5577354
82,República,42.802,-46.6426405,-23.5440229
83,Jaguaré,41.628,-46.7494992249,-23.5420355
84,Alto de Pinheiros,39.477,-46.7076422,-23.5499064
85,Socorro,36.691,-46.7114358329,-23.6845605
86,Belém,36.283,-46.5950391792,-23.5384755
87,Morumbi,32.281,-46.7027463128,-23.6223906
88,Vila Leopoldina,30.188,-46.7343193331,-23.530072
89,Cambuci,29.811,-46.6136503087,-23.5661285
90,Bom Retiro,28.591,-46.6368348465,-23.5271385
91,Brás,26.587,-46.6163355307,-23.54511365
92,Jaguara,24.114,-46.7553150947,-23.507446
93,Sé,21.564,-46.6334463,-23.5504428
94,Pari,16.144,-46.6158488,-23.532976
95,Barra Funda,12.977,-46.6675134,-23.5254616
96,Marsilac,10.180,-46.7102298928,-23.9371416
